"Faerdigvacc. dato";"regionskode_current";"Regionsnavn";"Antal faerdigvacc.";"regionskode_num"
2021-04-12;1081;Nordjylland;64;1081
2021-04-12;1082;Midtjylland;1882;1082
2021-04-12;1083;Syddanmark;1541;1083
2021-04-12;1084;Hovedstaden;6820;1084
2021-04-12;1085;Sjælland;1168;1085
2021-04-13;1081;Nordjylland;442;1081
2021-04-13;1082;Midtjylland;1723;1082
2021-04-13;1083;Syddanmark;1206;1083
2021-04-13;1084;Hovedstaden;1074;1084
2021-04-13;1085;Sjælland;1751;1085
2021-04-14;1081;Nordjylland;691;1081
2021-04-14;1082;Midtjylland;2390;1082
2021-04-14;1083;Syddanmark;1533;1083
2021-04-14;1084;Hovedstaden;4511;1084
2021-04-14;1085;Sjælland;1969;1085
2021-04-15;1081;Nordjylland;1464;1081
2021-04-15;1082;Midtjylland;3052;1082
2021-04-15;1083;Syddanmark;1372;1083
2021-04-15;1084;Hovedstaden;1553;1084
2021-04-15;1085;Sjælland;1617;1085
2021-04-16;1081;Nordjylland;936;1081
2021-04-16;1082;Midtjylland;1432;1082
2021-04-16;1083;Syddanmark;1545;1083
2021-04-16;1084;Hovedstaden;2994;1084
2021-04-16;1085;Sjælland;1218;1085
2021-04-17;1081;Nordjylland;19;1081
2021-04-17;1082;Midtjylland;44;1082
2021-04-17;1083;Syddanmark;903;1083
2021-04-17;1084;Hovedstaden;208;1084
2021-04-17;1085;Sjælland;1553;1085
2021-04-18;1081;Nordjylland;2971;1081
2021-04-18;1082;Midtjylland;34;1082
2021-04-18;1083;Syddanmark;622;1083
2021-04-18;1084;Hovedstaden;183;1084
2021-04-18;1085;Sjælland;1305;1085
2021-04-19;1081;Nordjylland;2587;1081
2021-04-19;1082;Midtjylland;4831;1082
2021-04-19;1083;Syddanmark;1545;1083
2021-04-19;1084;Hovedstaden;2065;1084
2021-04-19;1085;Sjælland;3297;1085
2021-04-20;1081;Nordjylland;859;1081
2021-04-20;1082;Midtjylland;4491;1082
2021-04-20;1083;Syddanmark;1764;1083
2021-04-20;1084;Hovedstaden;4975;1084
2021-04-20;1085;Sjælland;4769;1085
2021-04-21;1081;Nordjylland;53;1081
2021-04-21;1082;Midtjylland;5644;1082
2021-04-21;1083;Syddanmark;999;1083
2021-04-21;1084;Hovedstaden;3736;1084
2021-04-21;1085;Sjælland;2251;1085
2021-04-22;1081;Nordjylland;57;1081
2021-04-22;1082;Midtjylland;2639;1082
2021-04-22;1083;Syddanmark;1527;1083
2021-04-22;1084;Hovedstaden;147;1084
2021-04-22;1085;Sjælland;1004;1085
2021-04-23;1081;Nordjylland;52;1081
2021-04-23;1082;Midtjylland;1894;1082
2021-04-23;1083;Syddanmark;1932;1083
2021-04-23;1084;Hovedstaden;6926;1084
2021-04-23;1085;Sjælland;381;1085
2021-04-24;1081;Nordjylland;886;1081
2021-04-24;1082;Midtjylland;77;1082
2021-04-24;1083;Syddanmark;1597;1083
2021-04-24;1084;Hovedstaden;1981;1084
2021-04-24;1085;Sjælland;3030;1085
2021-04-25;1081;Nordjylland;493;1081
2021-04-25;1082;Midtjylland;32;1082
2021-04-25;1083;Syddanmark;916;1083
2021-04-25;1084;Hovedstaden;325;1084
2021-04-25;1085;Sjælland;3508;1085
2021-04-26;1081;Nordjylland;1034;1081
2021-04-26;1082;Midtjylland;817;1082
2021-04-26;1083;Syddanmark;1625;1083
2021-04-26;1084;Hovedstaden;3151;1084
2021-04-26;1085;Sjælland;1227;1085
2021-04-27;1081;Nordjylland;2490;1081
2021-04-27;1082;Midtjylland;3746;1082
2021-04-27;1083;Syddanmark;1958;1083
2021-04-27;1084;Hovedstaden;9644;1084
2021-04-27;1085;Sjælland;3002;1085
2021-04-28;1081;Nordjylland;1735;1081
2021-04-28;1082;Midtjylland;5818;1082
2021-04-28;1083;Syddanmark;3764;1083
2021-04-28;1084;Hovedstaden;8141;1084
2021-04-28;1085;Sjælland;1046;1085
2021-04-29;1081;Nordjylland;1168;1081
2021-04-29;1082;Midtjylland;5468;1082
2021-04-29;1083;Syddanmark;2203;1083
2021-04-29;1084;Hovedstaden;7167;1084
2021-04-29;1085;Sjælland;1882;1085
2021-04-30;1081;Nordjylland;797;1081
2021-04-30;1082;Midtjylland;654;1082
2021-04-30;1083;Syddanmark;1856;1083
2021-04-30;1084;Hovedstaden;228;1084
2021-04-30;1085;Sjælland;413;1085
2021-05-01;1081;Nordjylland;766;1081
2021-05-01;1082;Midtjylland;80;1082
2021-05-01;1083;Syddanmark;2174;1083
