"2. stik dato";"regionskode_current";"Regionsnavn";"Antal 2.stik";"regionskode_num"
2021-04-29;1081;Nordjylland;1148;1081
2021-04-29;1082;Midtjylland;5435;1082
2021-04-29;1083;Syddanmark;2196;1083
2021-04-29;1084;Hovedstaden;7104;1084
2021-04-29;1085;Sjælland;1873;1085
2021-04-30;1081;Nordjylland;789;1081
2021-04-30;1082;Midtjylland;651;1082
2021-04-30;1083;Syddanmark;1841;1083
2021-04-30;1084;Hovedstaden;247;1084
2021-04-30;1085;Sjælland;410;1085
2021-05-01;1081;Nordjylland;764;1081
2021-05-01;1082;Midtjylland;82;1082
2021-05-01;1083;Syddanmark;2152;1083
2021-05-01;1084;Hovedstaden;487;1084
2021-05-01;1085;Sjælland;2590;1085
2021-05-02;1081;Nordjylland;1169;1081
2021-05-02;1082;Midtjylland;55;1082
2021-05-02;1083;Syddanmark;1952;1083
2021-05-02;1084;Hovedstaden;8494;1084
2021-05-02;1085;Sjælland;2038;1085
2021-05-03;1081;Nordjylland;9769;1081
2021-05-03;1082;Midtjylland;8777;1082
2021-05-03;1083;Syddanmark;4050;1083
2021-05-03;1084;Hovedstaden;7945;1084
2021-05-03;1085;Sjælland;14862;1085
2021-05-04;1081;Nordjylland;1047;1081
2021-05-04;1082;Midtjylland;8295;1082
2021-05-04;1083;Syddanmark;3975;1083
2021-05-04;1084;Hovedstaden;8578;1084
2021-05-04;1085;Sjælland;2725;1085
2021-05-05;1081;Nordjylland;1423;1081
2021-05-05;1082;Midtjylland;8795;1082
2021-05-05;1083;Syddanmark;4184;1083
2021-05-05;1084;Hovedstaden;11895;1084
2021-05-05;1085;Sjælland;2772;1085
2021-05-06;1081;Nordjylland;617;1081
2021-05-06;1082;Midtjylland;7481;1082
2021-05-06;1083;Syddanmark;5094;1083
2021-05-06;1084;Hovedstaden;9973;1084
2021-05-06;1085;Sjælland;2251;1085
2021-05-07;1081;Nordjylland;1366;1081
2021-05-07;1082;Midtjylland;5916;1082
2021-05-07;1083;Syddanmark;5510;1083
2021-05-07;1084;Hovedstaden;7511;1084
2021-05-07;1085;Sjælland;4143;1085
2021-05-08;1081;Nordjylland;1236;1081
2021-05-08;1082;Midtjylland;252;1082
2021-05-08;1083;Syddanmark;3824;1083
2021-05-08;1084;Hovedstaden;19530;1084
2021-05-08;1085;Sjælland;5817;1085
2021-05-09;1081;Nordjylland;1796;1081
2021-05-09;1082;Midtjylland;94;1082
2021-05-09;1083;Syddanmark;2888;1083
2021-05-09;1084;Hovedstaden;8116;1084
2021-05-09;1085;Sjælland;3711;1085
2021-05-10;1081;Nordjylland;4696;1081
2021-05-10;1082;Midtjylland;7042;1082
2021-05-10;1083;Syddanmark;14124;1083
2021-05-10;1084;Hovedstaden;5546;1084
2021-05-10;1085;Sjælland;4523;1085
2021-05-11;1081;Nordjylland;3612;1081
2021-05-11;1082;Midtjylland;7556;1082
2021-05-11;1083;Syddanmark;5700;1083
2021-05-11;1084;Hovedstaden;6159;1084
2021-05-11;1085;Sjælland;3110;1085
2021-05-12;1081;Nordjylland;1970;1081
2021-05-12;1082;Midtjylland;9259;1082
2021-05-12;1083;Syddanmark;6249;1083
2021-05-12;1084;Hovedstaden;5565;1084
2021-05-12;1085;Sjælland;3834;1085
2021-05-13;1081;Nordjylland;1829;1081
2021-05-13;1082;Midtjylland;2673;1082
2021-05-13;1083;Syddanmark;2332;1083
2021-05-13;1084;Hovedstaden;10559;1084
2021-05-13;1085;Sjælland;2225;1085
2021-05-14;1081;Nordjylland;3214;1081
2021-05-14;1082;Midtjylland;9016;1082
2021-05-14;1083;Syddanmark;6992;1083
2021-05-14;1084;Hovedstaden;7759;1084
2021-05-14;1085;Sjælland;3656;1085
2021-05-15;1081;Nordjylland;5325;1081
2021-05-15;1082;Midtjylland;334;1082
2021-05-15;1083;Syddanmark;4585;1083
2021-05-15;1084;Hovedstaden;6843;1084
2021-05-15;1085;Sjælland;2248;1085
2021-05-16;1081;Nordjylland;4523;1081
2021-05-16;1082;Midtjylland;267;1082
2021-05-16;1083;Syddanmark;3823;1083
