"Dato";"Aldersgruppe";"Regionsnavn";"Antal 1. stik";"Antal 2. stik"
2021-12-14;0-9;Midtjylland;1796;0
2021-12-14;10-19;Midtjylland;839;229
2021-12-14;20-29;Midtjylland;127;261
2021-12-14;30-39;Midtjylland;85;258
2021-12-14;40-49;Midtjylland;38;80
2021-12-14;50-59;Midtjylland;32;31
2021-12-14;60-69;Midtjylland;13;23
2021-12-14;70-79;Midtjylland;12;8
2021-12-14;80-89;Midtjylland;1;2
;;NA;0;1
2021-12-14;0-9;Syddanmark;955;0
2021-12-14;10-19;Syddanmark;532;157
2021-12-14;20-29;Syddanmark;119;218
2021-12-14;30-39;Syddanmark;90;199
2021-12-14;40-49;Syddanmark;54;81
2021-12-14;50-59;Syddanmark;30;36
2021-12-14;60-69;Syddanmark;13;26
2021-12-14;70-79;Syddanmark;14;15
2021-12-14;80-89;Syddanmark;11;4
2021-12-14;90+;Syddanmark;1;1
2021-12-14;0-9;Hovedstaden;1716;1
2021-12-14;10-19;Hovedstaden;1161;377
2021-12-14;20-29;Hovedstaden;226;468
2021-12-14;30-39;Hovedstaden;194;436
2021-12-14;40-49;Hovedstaden;92;169
2021-12-14;50-59;Hovedstaden;43;82
2021-12-14;60-69;Hovedstaden;34;39
2021-12-14;70-79;Hovedstaden;21;15
2021-12-14;80-89;Hovedstaden;6;4
2021-12-14;90+;Hovedstaden;3;2
2021-12-14;0-9;Sjælland;788;0
2021-12-14;10-19;Sjælland;719;121
2021-12-14;20-29;Sjælland;63;109
2021-12-14;30-39;Sjælland;50;123
2021-12-14;40-49;Sjælland;39;48
2021-12-14;50-59;Sjælland;18;23
2021-12-14;60-69;Sjælland;7;13
2021-12-14;70-79;Sjælland;2;8
2021-12-14;80-89;Sjælland;1;3
2021-12-14;90+;Sjælland;1;1
2021-12-15;0-9;Nordjylland;866;0
2021-12-15;10-19;Nordjylland;526;86
2021-12-15;20-29;Nordjylland;55;65
2021-12-15;30-39;Nordjylland;49;74
2021-12-15;40-49;Nordjylland;20;30
2021-12-15;50-59;Nordjylland;10;15
2021-12-15;60-69;Nordjylland;12;8
2021-12-15;70-79;Nordjylland;10;2
2021-12-15;80-89;Nordjylland;2;6
2021-12-15;90+;Nordjylland;1;0
2021-12-15;0-9;Midtjylland;1710;0
2021-12-15;10-19;Midtjylland;862;269
2021-12-15;20-29;Midtjylland;126;269
2021-12-15;30-39;Midtjylland;106;286
2021-12-15;40-49;Midtjylland;59;105
2021-12-15;50-59;Midtjylland;27;59
2021-12-15;60-69;Midtjylland;21;20
2021-12-15;70-79;Midtjylland;13;11
2021-12-15;80-89;Midtjylland;6;4
2021-12-15;90+;Midtjylland;1;2
2021-12-15;0-9;Syddanmark;1566;0
2021-12-15;10-19;Syddanmark;708;152
2021-12-15;20-29;Syddanmark;97;211
2021-12-15;30-39;Syddanmark;87;179
2021-12-15;40-49;Syddanmark;43;79
2021-12-15;50-59;Syddanmark;30;38
2021-12-15;60-69;Syddanmark;18;20
2021-12-15;70-79;Syddanmark;17;6
2021-12-15;80-89;Syddanmark;8;4
2021-12-15;90+;Syddanmark;2;1
2021-12-15;0-9;Hovedstaden;2816;2
2021-12-15;10-19;Hovedstaden;1461;412
2021-12-15;20-29;Hovedstaden;239;571
2021-12-15;30-39;Hovedstaden;217;487
2021-12-15;40-49;Hovedstaden;119;155
2021-12-15;50-59;Hovedstaden;71;73
2021-12-15;60-69;Hovedstaden;23;35
2021-12-15;70-79;Hovedstaden;15;18
2021-12-15;80-89;Hovedstaden;11;7
2021-12-15;90+;Hovedstaden;3;2
2021-12-15;0-9;Sjælland;1292;0
2021-12-15;10-19;Sjælland;749;193
2021-12-15;20-29;Sjælland;85;187
2021-12-15;30-39;Sjælland;81;228
2021-12-15;40-49;Sjælland;28;97
2021-12-15;50-59;Sjælland;23;58
