"1. stik dato";"regionskode_current";"Regionsnavn";"Antal 1.stik";"regionskode_num"
2021-04-14;1081;Nordjylland;1407;1081
2021-04-14;1082;Midtjylland;4073;1082
2021-04-14;1083;Syddanmark;2187;1083
2021-04-14;1084;Hovedstaden;1600;1084
2021-04-14;1085;Sjælland;2149;1085
2021-04-15;1081;Nordjylland;560;1081
2021-04-15;1082;Midtjylland;4801;1082
2021-04-15;1083;Syddanmark;2461;1083
2021-04-15;1084;Hovedstaden;5552;1084
2021-04-15;1085;Sjælland;1860;1085
2021-04-16;1081;Nordjylland;3418;1081
2021-04-16;1082;Midtjylland;2731;1082
2021-04-16;1083;Syddanmark;5369;1083
2021-04-16;1084;Hovedstaden;4161;1084
2021-04-16;1085;Sjælland;1627;1085
2021-04-17;1081;Nordjylland;2817;1081
2021-04-17;1082;Midtjylland;1205;1082
2021-04-17;1083;Syddanmark;4629;1083
2021-04-17;1084;Hovedstaden;7716;1084
2021-04-17;1085;Sjælland;2333;1085
2021-04-18;1081;Nordjylland;1322;1081
2021-04-18;1082;Midtjylland;639;1082
2021-04-18;1083;Syddanmark;4065;1083
2021-04-18;1084;Hovedstaden;7340;1084
2021-04-18;1085;Sjælland;1062;1085
2021-04-19;1081;Nordjylland;2274;1081
2021-04-19;1082;Midtjylland;4856;1082
2021-04-19;1083;Syddanmark;5841;1083
2021-04-19;1084;Hovedstaden;8679;1084
2021-04-19;1085;Sjælland;3063;1085
2021-04-20;1081;Nordjylland;1242;1081
2021-04-20;1082;Midtjylland;7853;1082
2021-04-20;1083;Syddanmark;6007;1083
2021-04-20;1084;Hovedstaden;4594;1084
2021-04-20;1085;Sjælland;2225;1085
2021-04-21;1081;Nordjylland;2946;1081
2021-04-21;1082;Midtjylland;5491;1082
2021-04-21;1083;Syddanmark;5285;1083
2021-04-21;1084;Hovedstaden;5573;1084
2021-04-21;1085;Sjælland;3153;1085
2021-04-22;1081;Nordjylland;2618;1081
2021-04-22;1082;Midtjylland;6966;1082
2021-04-22;1083;Syddanmark;4789;1083
2021-04-22;1084;Hovedstaden;11211;1084
2021-04-22;1085;Sjælland;2570;1085
2021-04-23;1081;Nordjylland;4150;1081
2021-04-23;1082;Midtjylland;4588;1082
2021-04-23;1083;Syddanmark;5630;1083
2021-04-23;1084;Hovedstaden;3725;1084
