Date;Antal_døde;running_avg_deaths;new_1;new_2;new_3;new_4;new_1_avg;new_2_avg;new_3_avg;new_4_avg;sum_1;sum_2;sum_3;sum_4;active_1;active_2;active_3;active_4
2020-05-19; 2; 3,1428571; 119,04762; 193,05019; 246,30542; 297,61905; 156,46259; 253,72311; 323,71569; 391,15646; 99166,66667;160810,81081;205172,41379;247916,66667; 3309,5238; 5366,7954; 6847,2906; 8273,8095
2020-05-20; 5; 3,1428571; 119,04762; 193,05019; 246,30542; 297,61905; 153,06122; 248,20739; 316,67840; 382,65306; 99285,71429;161003,86100;205418,71921;248214,28571; 3309,5238; 5366,7954; 6847,2906; 8273,8095
2020-05-21; 0; 3,1428571; 142,85714; 231,66023; 295,56650; 357,14286; 139,45578; 226,14451; 288,52920; 348,63946; 99428,57143;161235,52124;205714,28571;248571,42857; 3166,6667; 5135,1351; 6551,7241; 7916,6667
2020-05-22; 1; 2,4285714; 166,66667; 270,27027; 344,82759; 416,66667; 139,45578; 226,14451; 288,52920; 348,63946; 99595,23810;161505,79151;206059,11330;248988,09524; 3095,2381; 5019,3050; 6403,9409; 7738,0952
2020-05-23; 1; 2,1428571; 166,66667; 270,27027; 344,82759; 416,66667; 139,45578; 226,14451; 288,52920; 348,63946; 99761,90476;161776,06178;206403,94089;249404,76190; 2952,3810; 4787,6448; 6108,3744; 7380,9524
2020-05-24; 1; 1,8571429; 119,04762; 193,05019; 246,30542; 297,61905; 139,45578; 226,14451; 288,52920; 348,63946; 99880,95238;161969,11197;206650,24631;249702,38095; 2690,4762; 4362,9344; 5566,5025; 6726,1905
2020-05-25; 0; 1,4285714; 142,85714; 231,66023; 295,56650; 357,14286; 136,05442; 220,62879; 281,49191; 340,13605;100023,80952;162200,77220;206945,81281;250059,52381; 2404,7619; 3899,6139; 4975,3695; 6011,9048
2020-05-26; 3; 1,5714286; 119,04762; 193,05019; 246,30542; 297,61905; 125,85034; 204,08163; 260,38001; 314,62585;100142,85714;162393,82239;207192,11823;250357,14286; 2166,6667; 3513,5135; 4482,7586; 5416,6667
2020-05-27; 1; 1,0000000; 119,04762; 193,05019; 246,30542; 297,61905; 115,64626; 187,53447; 239,26812; 289,11565;100261,90476;162586,87259;207438,42365;250654,76190; 1952,3810; 3166,0232; 4039,4089; 4880,9524
2020-05-28; 0; 1,0000000; 119,04762; 193,05019; 246,30542; 297,61905; 108,84354; 176,50303; 225,19353; 272,10884;100380,95238;162779,92278;207684,72906;250952,38095; 1809,5238; 2934,3629; 3743,8424; 4523,8095
2020-05-29; 1; 1,0000000;  95,23810; 154,44015; 197,04433; 238,09524;  95,23810; 154,44015; 197,04433; 238,09524;100476,19048;162934,36293;207881,77340;251190,47619; 1642,8571; 2664,0927; 3399,0148; 4107,1429
