Aldersgruppe;Date;Variable;Total;Weekly_diff
40-49;2020-09-16;positive;  3440;  364
40-49;2020-09-16;testede;301043;26331
50-59;2020-09-16;positive;  3481;  379
50-59;2020-09-16;testede;292155;23892
60-69;2020-09-16;positive;  2052;  192
60-69;2020-09-16;testede;212237;15302
70-79;2020-09-16;positive;  1407;  111
70-79;2020-09-16;testede;158091; 9619
80-89;2020-09-16;positive;   937;   40
80-89;2020-09-16;testede; 64327; 3204
90+;2020-09-16;positive;   288;    8
90+;2020-09-16;testede; 13671;  617
0-9;2020-09-23;positive;   962;  151
0-9;2020-09-23;testede;171979;11580
10-19;2020-09-23;positive;  2620;  599
10-19;2020-09-23;testede;296975;32534
20-29;2020-09-23;positive;  4661;  849
20-29;2020-09-23;testede;366620;28927
30-39;2020-09-23;positive;  3564;  420
30-39;2020-09-23;testede;319231;21261
40-49;2020-09-23;positive;  3962;  522
40-49;2020-09-23;testede;324489;23446
50-59;2020-09-23;positive;  3985;  504
50-59;2020-09-23;testede;314977;22822
60-69;2020-09-23;positive;  2301;  249
60-69;2020-09-23;testede;226645;14408
70-79;2020-09-23;positive;  1561;  154
70-79;2020-09-23;testede;167685; 9594
80-89;2020-09-23;positive;   994;   57
80-89;2020-09-23;testede; 67447; 3120
90+;2020-09-23;positive;   306;   18
90+;2020-09-23;testede; 14225;  554
0-9;2020-09-30;positive;  1155;  193
0-9;2020-09-30;testede;182816;10837
10-19;2020-09-30;positive;  3317;  697
10-19;2020-09-30;testede;322081;25106
20-29;2020-09-30;positive;  5475;  814
20-29;2020-09-30;testede;391819;25199
30-39;2020-09-30;positive;  3996;  432
30-39;2020-09-30;testede;337805;18574
40-49;2020-09-30;positive;  4447;  485
40-49;2020-09-30;testede;344850;20361
50-59;2020-09-30;positive;  4431;  446
50-59;2020-09-30;testede;335312;20335
60-69;2020-09-30;positive;  2527;  226
60-69;2020-09-30;testede;240235;13590
70-79;2020-09-30;positive;  1681;  120
70-79;2020-09-30;testede;176997; 9312
80-89;2020-09-30;positive;  1047;   53
80-89;2020-09-30;testede; 70573; 3126
90+;2020-09-30;positive;   320;   14
90+;2020-09-30;testede; 14870;  645
0-9;2020-10-07;positive;  1336;  181
0-9;2020-10-07;testede;191908; 9092
10-19;2020-10-07;positive;  3815;  498
10-19;2020-10-07;testede;339937;17856
20-29;2020-10-07;positive;  6021;  546
20-29;2020-10-07;testede;410422;18603
30-39;2020-10-07;positive;  4345;  349
30-39;2020-10-07;testede;352776;14971
40-49;2020-10-07;positive;  4874;  427
40-49;2020-10-07;testede;361277;16427
50-59;2020-10-07;positive;  4827;  396
50-59;2020-10-07;testede;351893;16581
60-69;2020-10-07;positive;  2705;  178
60-69;2020-10-07;testede;251854;11619
70-79;2020-10-07;positive;  1809;  128
70-79;2020-10-07;testede;185054; 8057
80-89;2020-10-07;positive;  1093;   46
80-89;2020-10-07;testede; 73292; 2719
90+;2020-10-07;positive;   331;   11
90+;2020-10-07;testede; 15343;  473
0-9;2020-10-14;positive;  1486;  150
0-9;2020-10-14;testede;199496; 7588
