"Kommune";"Aldersgruppe";"Bekræftede tilfælde";"Dagsdato"
165;80-89;27;2021-03-19
167;80-89;84;2021-03-19
169;80-89;80;2021-03-19
173;80-89;99;2021-03-19
175;80-89;72;2021-03-19
183;80-89;32;2021-03-19
185;80-89;79;2021-03-19
187;80-89;30;2021-03-19
190;80-89;84;2021-03-19
201;80-89;42;2021-03-19
210;80-89;74;2021-03-19
217;80-89;107;2021-03-19
219;80-89;76;2021-03-19
223;80-89;41;2021-03-19
230;80-89;98;2021-03-19
240;80-89;78;2021-03-19
250;80-89;64;2021-03-19
253;80-89;68;2021-03-19
259;80-89;56;2021-03-19
260;80-89;22;2021-03-19
265;80-89;103;2021-03-19
269;80-89;17;2021-03-19
270;80-89;61;2021-03-19
306;80-89;38;2021-03-19
316;80-89;73;2021-03-19
320;80-89;28;2021-03-19
326;80-89;58;2021-03-19
329;80-89;33;2021-03-19
330;80-89;129;2021-03-19
336;80-89;37;2021-03-19
340;80-89;23;2021-03-19
350;80-89;32;2021-03-19
360;80-89;54;2021-03-19
370;80-89;102;2021-03-19
376;80-89;82;2021-03-19
390;80-89;25;2021-03-19
400;80-89;28;2021-03-19
410;80-89;23;2021-03-19
420;80-89;12;2021-03-19
430;80-89;35;2021-03-19
440;80-89;22;2021-03-19
450;80-89;38;2021-03-19
461;80-89;107;2021-03-19
479;80-89;45;2021-03-19
480;80-89;13;2021-03-19
482;80-89;3;2021-03-19
492;80-89;2;2021-03-19
510;80-89;20;2021-03-19
530;80-89;17;2021-03-19
540;80-89;41;2021-03-19
550;80-89;14;2021-03-19
561;80-89;96;2021-03-19
563;80-89;1;2021-03-19
573;80-89;40;2021-03-19
575;80-89;18;2021-03-19
580;80-89;30;2021-03-19
607;80-89;40;2021-03-19
615;80-89;60;2021-03-19
621;80-89;50;2021-03-19
630;80-89;42;2021-03-19
657;80-89;63;2021-03-19
661;80-89;70;2021-03-19
665;80-89;6;2021-03-19
671;80-89;24;2021-03-19
706;80-89;34;2021-03-19
707;80-89;22;2021-03-19
710;80-89;20;2021-03-19
727;80-89;19;2021-03-19
730;80-89;46;2021-03-19
740;80-89;45;2021-03-19
741;80-89;4;2021-03-19
746;80-89;69;2021-03-19
751;80-89;252;2021-03-19
756;80-89;33;2021-03-19
760;80-89;30;2021-03-19
766;80-89;30;2021-03-19
773;80-89;18;2021-03-19
779;80-89;18;2021-03-19
787;80-89;48;2021-03-19
791;80-89;41;2021-03-19
810;80-89;24;2021-03-19
813;80-89;52;2021-03-19
820;80-89;22;2021-03-19
840;80-89;26;2021-03-19
846;80-89;44;2021-03-19
849;80-89;27;2021-03-19
851;80-89;128;2021-03-19
860;80-89;49;2021-03-19
;90+;5;2021-03-19
101;90+;225;2021-03-19
147;90+;113;2021-03-19
151;90+;24;2021-03-19
153;90+;19;2021-03-19
155;90+;7;2021-03-19
157;90+;59;2021-03-19
159;90+;51;2021-03-19
161;90+;26;2021-03-19
163;90+;36;2021-03-19
165;90+;5;2021-03-19
167;90+;21;2021-03-19
169;90+;28;2021-03-19
